PID,ProductType,ProductName,Manufacturer,Part #,Color
12321,Memory,ADATA Premier Series 4 GB (1 x 4 GB) DDR2-800 CL6 Memory (SU2S800C4G6-R),47,SU2S800C4G6-R,21
12322,Memory,Mushkin Redline 16 GB (4 x 4 GB) DDR3-1600 CL7 Memory (993982),56,993982,9
12323,Memory,Corsair Vengeance 16 GB (4 x 4 GB) DDR3-1600 CL9 Memory (CML16GX3M4X1600C7),29,CML16GX3M4X1600C7,18
12324,Memory,G.Skill Ripjaws Z Series 8 GB (4 x 2 GB) DDR3-1600 CL9 Memory (F3-12800CL9Q-8GBZL),43,F3-12800CL9Q-8GBZL,8
12325,Memory,Kingston 32 GB (8 x 4 GB) DDR3-1600 CL9 Memory (KHX1600C9D3K8/32GX),46,KHX1600C9D3K8/32GX,32
12326,Memory,Mushkin Essentials 32 GB (4 x 8 GB) DDR3-1333 CL9 Memory (994017),56,994017,21
12327,Memory,Kingston LoVo 4 GB (2 x 2 GB) DDR3-1600 CL9 Memory (KHX1600C9D3LK2/4GX),46,KHX1600C9D3LK2/4GX,26
12328,Memory,Kingston 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory (KHX1600C9D3LK2/8GX),46,KHX1600C9D3LK2/8GX,26
12329,Memory,Patriot G2 Series Division 4 16 GB (4 x 4 GB) DDR3-1333 CL9 Memory (PGQ316G1333ELQK),48,PGQ316G1333ELQK,17
12330,Memory,Patriot G2 Series Division 4 32 GB (4 x 8 GB) DDR3-1333 CL9 Memory (PGQ332G1333ELQK),48,PGQ332G1333ELQK,17
12331,Memory,Kingston 16 GB (4 x 4 GB) DDR3-2133 CL11 Memory (KHX2133C11D3K4/16GX),46,KHX2133C11D3K4/16GX,32
12332,Memory,G.Skill Ripjaws Z Series 16 GB (4 x 4 GB) DDR3-1866 CL8 Memory (F3-14900CL8Q-16GBZM),43,F3-14900CL8Q-16GBZM,17
12333,Memory,G.Skill Ares Series 16 GB (4 x 4 GB) DDR3-1866 CL9 Memory (F3-1866C9Q-16GAB),43,F3-1866C9Q-16GAB,17
