PID,Form Factor,Efficiency Rating,Wattage,Length,Modular,Type,Fanless,ATX Connectors,EPS Connectors,PCIe 12-Pin Connectors,PCIe 8-Pin Connectors,PCIe 6+2-Pin Connectors,PCIe 6-Pin Connectors,SATA Connectors,Molex 4-Pin Connectors,Output,Efficiency
23709,7,1,700,160,2,16,N,0,2,0,0,2,2,8,6,"+3.3V@24A, +5V@20A, +12V1@30A, +12V2@30A, -12V@0.3A, +5VSB@3.0A",< 89%
23710,7,4,550,140,2,16,N,1,1,0,1,0,0,4,3,3.3 V DC @ 20 A<br/>5 V DC @ 20 A<br/>12 V DC @ 43 A<br/>-5 V DC @ 20 A<br/>-12 V DC @ 500 mA<br/>5 V @ 2.50 A,
23711,7,1,700,139,2,16,N,0,2,0,0,2,2,8,6,"+3.3V@24A, +5V@20A, +12V1@30A, +12V2@30A, -12V@0.3A, +5VSB@3.0A",< 89%
23712,7,,1000,,2,16,N,0,1,0,0,2,2,8,6,"+3.3@28A, +5V@30A, +12V1@20A, +12V2@20A ,+12V3@30A +12V4@30A, +12V5@30A,+12V6@30A,-12V@0.8A, +5VSB@3A",< 85%
23713,7,,500,140,2,14,N,1,0,0,0,0,0,3,3,,
23714,7,4,900,175,0,16,N,1,1,0,0,2,2,12,4,"+3.3V@28A, +5V@28A, +12V1@20A, +12V2@20A, +12V3@20A, +12V4@20A, +12V5@20A, +12V6@20A, -12V@0.8A, +5VSB@6.0A",< 87%
23715,7,2,520,160,0,16,Y,0,1,0,0,2,0,6,5,"+3.3V@20A, +5V@20A, +12V@43A,-12@0.5A, +5Vsb@2.5A",with up to 92%
23716,7,1,550,163,2,16,N,0,1,0,0,0,0,6,3,,
23717,7,0,430,170,1,16,Y,0,1,0,0,2,0,6,5,,
23718,7,2,500,170,1,16,Y,0,1,0,0,2,0,6,5,,
23719,7,0,1000,176,2,17,N,0,1,0,0,6,0,12,4,"+3.3V@30A, +5V@30A, +12V1@19A, +12V2@19A, +12V3@19A, +12V4@19A, -12V@1.0A, +5VSB@3.0A",
23720,7,5,1000,180,1,16,N,0,2,0,0,8,0,12,8,"+3.3V@25A, +5V@25A, +12V1@50A, +12V2@70A, -12V@0.3A, +5VSB@3.5A",91%
23721,7,0,650,160,1,14,N,0,1,0,0,4,0,12,4,,
