PID,Height,Fanless,Fan RPM Min,Fan RPM Max,Noise Level Min,Noise Level Max,Bearing,Water Cooler Radiator
28715,112,N,1400,,11.9,24.4,,
28716,167,N,300,1400,17.8,27.3,2,
28717,124.6,N,600,2200,26.4,,,
28718,,N,2200,,16.8,38.3,,240
28719,125,N,800,2800,13.6,34.8,,
28720,137,N,300,2000,,,,
28721,,N,500,2000,32.2,,,240
28722,65,N,100,2000,,,,
28723,158,N,300,1500,18.6,22.4,,
28724,154,N,300,1200,4,24.9,,
28725,,N,500,1800,21,38,,140
28726,60,N,500,1800,14.2,25.6,,
28727,160,N,800,1500,27,,,
28728,160,N,500,1500,17.8,27.6,,
28729,,N,800,2700,37.7,,,240
28730,,N,700,1800,18,35.2,,120
28731,157,N,600,1800,21.9,27.6,,
28732,63,N,1600,,26.4,,,
28733,,N,1600,,16.1,37.3,,280
28734,,N,2435,,37.7,,,120
28735,27,N,1500,2600,17.39,22.7,,
28736,157.4,N,500,1500,27,,,
28737,,N,500,1800,32.1,,,360
28738,,N,500,1800,17.8,,,120
28739,,N,500,1700,34.1,,,280
28740,158,N,650,2000,6,30,,
28741,,N,2700,,37.68,,,120
28742,,N,500,1600,23.5,,,360
28743,152.7,N,600,1500,27,,,
28744,170,N,500,1800,17.2,33.6,,
28745,,N,600,2000,34,,,240
28746,125.5,N,800,1800,15.1,31.6,,
28747,70,Y,,,0,,,
28748,155,N,300,800,4,14.5,,
28749,163,N,1400,1700,13.2,26.1,2,
28750,,N,800,2000,20,37,,280
28751,,N,500,2000,17,32.6,,360
28752,,N,800,2500,37.6,,,120
28753,,N,600,1800,34.1,,,120
28754,137,N,300,2000,,,,
28755,,N,500,2000,32.2,,,240
28756,26,N,1200,2600,15,27.2,,
28757,139,N,800,2800,17,35,0,
28758,,N,700,2100,35.7,,,280
28759,160,N,800,1500,18.5,30.8,,
28760,,N,1600,,16.5,36.1,,280
28761,145,N,330,1600,10,25,,
28762,,N,500,2000,10,33.2,,240
28763,137,N,300,2000,,,,
28764,78,N,250,1600,,,,
28765,140,N,400,1600,8,20.2,,
28766,,N,800,1800,28,,,240
28767,,N,600,2200,7.4,35.6,,120
28768,162,N,400,1800,14,33,,
28769,,N,500,1800,32.1,,,240
28770,,N,650,2000,6,30,,120
28771,165,N,600,1800,31,,,
28772,158,N,1500,,25.6,,,
28773,54,N,800,3000,33,,,
28774,,N,500,2000,10,33.2,,360
28775,,N,500,1400,19.8,24.7,,240
28776,,N,800,2000,,,,360
28777,,N,900,1600,20,36,,240
28778,155,N,500,1600,,,,
28779,136,N,600,2000,29.4,,,
28780,167,N,1600,,36,,,
28781,58,N,900,2500,,,,
28782,130,N,800,1800,20,35,,
28783,158,N,1500,,25.6,,,
28784,,N,600,1800,25,32,,240
28785,,N,500,1800,32.1,,,240
28786,137,N,300,2000,,,,
28787,,N,1200,1500,,,,240
28788,47,N,600,2500,30,,,
28789,68,N,2600,,22.2,,,
28790,160,N,400,1400,8.4,21.1,2,
28791,154,N,1500,,25.6,,,
28792,93,N,1200,1600,13.1,22.4,,
28793,,N,700,1500,18,26.4,,240
28794,,N,2000,,40,,,280
28795,,N,650,2000,6,30,,360
28796,95,N,1900,2300,22,,0,
28797,,N,600,1800,35,,,240
28798,,N,500,2000,14,32,,120
28799,139,N,800,2200,17,30,,
28800,,N,500,1700,10,35.5,,280
28801,126,N,600,2200,,,,
28802,,N,2000,,31.4,,,120
28803,44,N,2400,,19,40,,120
28804,75,N,,,,,,
28805,35,N,4500,,35,,1,
28806,172,N,600,1800,8,24,,
28807,,N,500,2400,16,39.9,,120
28808,,N,600,1700,16.1,27.7,,240
28809,58,N,2500,,20,28.3,,
28810,,N,500,2300,14,28,,360
28811,137,N,500,2000,23.9,,,
28812,,N,1200,2000,27.36,,,120
28813,,N,500,1500,19,23.9,,360
28814,165,N,400,1050,22,,,
28815,156,N,500,1500,17.8,29.5,,
28816,,N,600,1850,13,38,,280
28817,,N,2000,,16.1,36.9,,360
28818,60,N,1000,1500,19,25,,
28819,,N,500,2000,17,32.6,,120
28820,110,N,400,2000,16.3,22.8,,
28821,,N,500,2000,10,33.2,,240
28822,47,N,600,2500,30,,,
28823,149,N,1200,2100,18.2,30,,
28824,,N,,,30.2,,,120
28825,160,N,700,1300,19,23,,
28826,155,N,800,1600,,,,
28827,171,N,700,1200,13.4,19,,
28828,67,N,1500,7000,16,47.5,3,
28829,,N,1700,,30.32,,,120
28830,127,N,900,2500,,,2,
28831,,N,600,1800,37.1,,,360
28832,,N,550,1700,29,,,360
28833,160,N,1000,2000,8,29.1,,
28834,,N,1200,1500,,,,120
28835,135,N,800,2000,,,,
28836,,N,700,1800,18,35.2,,360
28837,,N,800,2000,20,37,,140
28838,,N,2400,,6.5,27,,240
28839,154,N,1500,,25.6,,,
28840,55,N,600,1600,13.8,30.2,,
28841,125,N,1300,2650,18,27.5,3,
28842,154,N,1500,,25.6,,,
28843,45,Y,,,,,,
28844,,N,550,1700,29,,,240
28845,64,N,500,2000,13.8,31.2,,
28846,37,N,2500,,,,,
28847,136,N,900,1600,17.8,21,,
28848,161,N,1400,,11.5,23.7,,
28849,157,N,1550,,25.6,,,
